id,year,measure_name,state,rank,value
0,2009,All Determinants,Alaska,34.0,-0.121
1,2009,All Determinants,Arizona,27.0,-0.037000000000000005
2,2009,All Determinants,Arkansas,41.0,-0.264
3,2009,All Determinants,California,24.0,0.134
4,2009,All Determinants,Alabama,43.0,-0.306
5,2009,All Determinants,Colorado,9.0,0.40700000000000003
6,2009,All Determinants,Connecticut,6.0,0.525
7,2009,All Determinants,Delaware,32.0,-0.098
8,2009,All Determinants,Florida,35.0,-0.122
9,2009,All Determinants,Georgia,47.0,-0.40399999999999997
10,2009,All Determinants,Hawaii,5.0,0.596
11,2009,All Determinants,Idaho,12.0,0.34700000000000003
12,2009,All Determinants,Illinois,33.0,-0.109
13,2009,All Determinants,Indiana,38.0,-0.201
14,2009,All Determinants,Iowa,18.0,0.237
15,2009,All Determinants,Kansas,25.0,0.121
16,2009,All Determinants,Kentucky,40.0,-0.257
17,2009,All Determinants,Louisiana,45.0,-0.36200000000000004
18,2009,All Determinants,Maine,8.0,0.439
19,2009,All Determinants,Maryland,16.0,0.282
20,2009,All Determinants,Massachusetts,4.0,0.63
21,2009,All Determinants,Michigan,30.0,-0.087
22,2009,All Determinants,Minnesota,7.0,0.47700000000000004
23,2009,All Determinants,Mississippi,50.0,-0.479
24,2009,All Determinants,Missouri,37.0,-0.185
25,2009,All Determinants,Montana,23.0,0.139
26,2009,All Determinants,Nebraska,21.0,0.217
27,2009,All Determinants,Nevada,49.0,-0.451
28,2009,All Determinants,New Hampshire,3.0,0.645
29,2009,All Determinants,New Jersey,17.0,0.244
30,2009,All Determinants,New Mexico,31.0,-0.096
31,2009,All Determinants,New York,26.0,0.021
32,2009,All Determinants,North Carolina,36.0,-0.168
33,2009,All Determinants,North Dakota,19.0,0.22899999999999998
34,2009,All Determinants,Ohio,29.0,-0.053
35,2009,All Determinants,Oklahoma,47.0,-0.40399999999999997
36,2009,All Determinants,Oregon,14.0,0.327
37,2009,All Determinants,Pennsylvania,28.0,-0.046
38,2009,All Determinants,Rhode Island,10.0,0.39899999999999997
39,2009,All Determinants,South Carolina,46.0,-0.363
40,2009,All Determinants,South Dakota,15.0,0.298
41,2009,All Determinants,Tennessee,42.0,-0.29
42,2009,All Determinants,Texas,44.0,-0.359
43,2009,All Determinants,United States,,
44,2009,All Determinants,Utah,2.0,0.743
45,2009,All Determinants,Vermont,1.0,0.8290000000000001
46,2009,All Determinants,Virginia,20.0,0.225
47,2009,All Determinants,Washington,13.0,0.32799999999999996
48,2009,All Determinants,West Virginia,39.0,-0.23
49,2009,All Determinants,Wisconsin,11.0,0.377
50,2009,All Determinants,Wyoming,22.0,0.193
51,2009,All Determinants,District of Columbia,,
52,2009,High Health Status - Female,Alabama,5.0,46.5
53,2009,High Health Status - Female,Alaska,33.0,57.1
54,2009,High Health Status - Female,Arizona,26.0,54.8
55,2009,High Health Status - Female,Arkansas,10.0,48.1
56,2009,High Health Status - Female,California,15.0,51.4
57,2009,High Health Status - Female,Colorado,43.0,59.9
58,2009,High Health Status - Female,Connecticut,50.0,62.9
59,2009,High Health Status - Female,Delaware,35.0,57.3
60,2009,High Health Status - Female,Florida,17.0,52.1
61,2009,High Health Status - Female,Georgia,20.0,52.9
62,2009,High Health Status - Female,Hawaii,13.0,49.9
63,2009,High Health Status - Female,Idaho,37.0,57.9
64,2009,High Health Status - Female,Illinois,21.0,53.2
65,2009,High Health Status - Female,Indiana,12.0,49.2
66,2009,High Health Status - Female,Iowa,31.0,57.0
67,2009,High Health Status - Female,Kansas,27.0,55.8
68,2009,High Health Status - Female,Kentucky,6.0,46.8
69,2009,High Health Status - Female,Louisiana,7.0,47.1
70,2009,High Health Status - Female,Maine,44.0,60.5
71,2009,High Health Status - Female,Maryland,41.0,58.3
72,2009,High Health Status - Female,Massachusetts,47.0,62.0
73,2009,High Health Status - Female,Michigan,23.0,53.5
74,2009,High Health Status - Female,Minnesota,46.0,61.7
75,2009,High Health Status - Female,Mississippi,2.0,44.8
76,2009,High Health Status - Female,Missouri,19.0,52.6
77,2009,High Health Status - Female,Montana,28.0,56.0
78,2009,High Health Status - Female,Nebraska,30.0,56.7
79,2009,High Health Status - Female,Nevada,8.0,47.4
80,2009,High Health Status - Female,New Hampshire,48.0,62.2
81,2009,High Health Status - Female,New Jersey,24.0,54.1
82,2009,High Health Status - Female,New Mexico,9.0,47.7
83,2009,High Health Status - Female,New York,22.0,53.3
84,2009,High Health Status - Female,North Carolina,16.0,51.9
85,2009,High Health Status - Female,North Dakota,35.0,57.3
86,2009,High Health Status - Female,Ohio,24.0,54.1
87,2009,High Health Status - Female,Oklahoma,11.0,48.4
88,2009,High Health Status - Female,Oregon,38.0,58.0
89,2009,High Health Status - Female,Pennsylvania,18.0,52.4
90,2009,High Health Status - Female,Rhode Island,39.0,58.2
91,2009,High Health Status - Female,South Carolina,14.0,51.2
92,2009,High Health Status - Female,South Dakota,42.0,59.4
93,2009,High Health Status - Female,Tennessee,4.0,46.4
94,2009,High Health Status - Female,Texas,3.0,46.3
95,2009,High Health Status - Female,Utah,45.0,60.9
